quote_id,equipment_type,"GROUP_CONCAT(CONCAT(' ',e.equipment_name, ': ', t.value))",Make,Model
1312194,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 72, Row Spacing: 10"", Air Seeder Model: N560, Year: 2023, Number of Towers: 8, Number of Tanks: 3, Number of Ranks: 2, Number of Rock Shafts: 10, Frame Type: 5 Section, Tractor Make: John Deere, Tractor Model: 9620RX",John Deere,N560
1312163,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4940 120ft boom 11 sections 1200 gal, Year: 2014",John Deere,4940 120ft boom 11 sections 1200 gal
1312063,Sprayer,"Sprayer Make: Apache, Sprayer Model: AS720, Year: 2013",Apache,AS720
1312038,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 144, Row Spacing: Other:12, Air Seeder Model: John Deere 1870, Year: 2018, Number of Towers: 16 (8/8), Number of Tanks: 5, Number of Ranks: 2, Frame Type: 5 Section, Tractor Make: John Deere, Tractor Model: 9R640",John Deere,John Deere 1870
1312000,Sprayer,"Sprayer Make: RoGator, Sprayer Model: RG1300, Year: 2015",RoGator,RG1300
1311721,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 72, Row Spacing: 10"", Air Seeder Model: N560, Year: 2023, Number of Towers: 8, Number of Ranks: 2, Number of Rock Shafts: 10, Frame Type: 5 Section, Tractor Make: John Deere",John Deere,N560
1311493,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 72, Row Spacing: 10"", Air Seeder Model: N560, Year: 2023, Number of Towers: 8, Number of Ranks: 2",John Deere,N560
1311473,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 72, Row Spacing: 10"", Air Seeder Model: N560, Year: 2023, Number of Tanks: 3, Number of Ranks: 2",John Deere,N560
1311448,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4830, Year: 2008",John Deere,4830
1311256,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 68, Air Seeder Model: 1895",John Deere,1895
1310548,Sprayer,"Sprayer Make: RG, Sprayer Model: 1300",RG,1300
1310534,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 31, Row Spacing: 15"", Air Seeder Model: 1690",John Deere,1690
1310423,Sprayer,"Sprayer Make: JD, Sprayer Model: 4730, Year: 2014",JD,4730
1310336,Sprayer,"Sprayer Make: Case , Sprayer Model: 4420, Year: 2007",Case ,4420
1310299,Sprayer,"Sprayer Make: Case IH, Sprayer Model: 3340",Case IH,3340
1310295,Sprayer,"Sprayer Make: john deere, Sprayer Model: r4045, Year: 2015",john deere,r4045
1310252,Sprayer,"Sprayer Make: Rogator, Sprayer Model: 874",Rogator,874
1310243,Sprayer,"Sprayer Make: MIller, Sprayer Model: 4240HT, Year: 2011",MIller,4240HT
1310237,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4045, Year: 2020",John Deere,4045
1310223,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4023, Year: 2019",John Deere,4023
1310208,Sprayer,"Sprayer Make: Apache, Sprayer Model: AS1220",Apache,AS1220
1310187,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4720, Year: 2012",John Deere,4720
1310171,Sprayer,"Sprayer Make: Haggi, Sprayer Model: STS 1200 120 ft Boom",Haggi,STS 1200 120 ft Boom
1310167,Sprayer,"Sprayer Make: Case IH, Sprayer Model: 4430, Year: 2013",Case IH,4430
1310164,Sprayer,"Sprayer Make: OXBO, Sprayer Model: 7560, Year: 2021",OXBO,7560
1310157,Sprayer,"Sprayer Make: Hagie , Sprayer Model: STS12",Hagie ,STS12
1310116,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4730, Year: 2014",John Deere,4730
1310076,Sprayer,"Sprayer Make: Hagie, Sprayer Model: Sts12, Year: 2014",Hagie,Sts12
1310011,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4038, Year: 2020",John Deere,4038
1310009,Sprayer,"Sprayer Make: caseIH, Sprayer Model: 5550, Year: 2022",caseIH,5550
1310000,Sprayer,"Sprayer Make: Haggi, Sprayer Model: STS 10 90 ft Boom, Year: 2008",Haggi,STS 10 90 ft Boom
